Player,TEAM,College,Country,PIE_2017,PIE_2018,AGE,MIN_2017,GP,W,L,PTS,FGM,3P%,FTM,FT%,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Height,Weight,Draft_Number,%_Box_Outs_Off,%_Box_Outs_Def,%_Team_RebWhen_Box_Out,%_Player_RebWhen_Box_Out,ContestedREB%,DeferredREB_Chances,AdjustedREB_Chance%,AVG_REBDistance,PassesMade,PassesReceived,SecondaryAST,ASTAdj,AST_ToPass%_Adj,ScreenAssists_PTS,Deflections,%_Loose_BallsRecovered_OFF,%_Loose_BallsRecovered_DEF,ChargesDrawn,Contested2PT_Shots,Contested3PT_Shots,FGM_und_5ft,FG%_und_5ft,FGM_5_9ft,FG%_5_9ft,FGM_10_14ft,FG%_10_14ft,FGM_15_19ft,FG%_15_19ft,OPP_FGM_und_5ft,OPP_FG%_und_5ft,OPP_FGM_5_9ft,OPP_FG%_5_9ft,OPP_FGM_10_14ft,OPP_FG%_10_14ft,OPP_FGM_15_19ft,OPP_FG%_15_19ft,OPP_FGM_20_24ft,OPP_FG%_20_24ft,OPP_FGM_25_29ft,OPP_FG%_25_29ft,DEFRTG,NETRTG,AST%,OREB%,DREB%,eFG%,TS%,USG%,PACE,cluster_five,cluster_ten,cluster_fourteen
Dion Waiters,MIA,Syracuse,USA,7.6,8.3,26,30.6,30,16,14,14.3,5.4,30.6,1.7,73.9,2.3,0.8,0.3,2.0,23.9,0,0,-2.8,76.0,215,4,2.7,97.3,81.0,19.0,9.2,0.4,43.7,9.9,36.2,48.8,0.5,4.5,12.4,0.6,1.5,36.4,63.6,0.0,4.2,3.0,2.5,55.6,0.2,26.3,0.2,42.9,0.5,34.0,10.7,58.5,2.5,38.9,1.9,38.1,1.8,35.8,3.5,42.9,3.6,38.6,106.2,-5.3,21.0,0.9,7.8,46.1,48.7,25.0,96.49,1,5,10
Dirk Nowitzki,DAL,None,Germany,11.9,7.3,40,24.7,77,24,53,12.0,4.5,40.9,1.3,89.8,0.7,0.6,0.6,1.9,24.0,5,0,-0.7,84.0,245,9,3.9,96.1,92.5,30.0,36.1,0.7,65.1,4.5,31.0,27.8,0.2,1.9,6.0,4.7,1.0,41.4,58.6,0.0,5.6,1.6,0.4,72.5,0.1,42.9,0.8,48.4,1.1,48.0,8.3,66.0,1.8,39.1,2.0,47.0,2.2,42.3,3.5,41.2,3.2,36.7,107.5,-2.0,9.8,1.2,22.7,54.7,57.5,19.9,98.8,3,4,1
Domantas Sabonis,IND,Gonzaga,Lithuania,12.1,16.2,22,24.5,74,45,29,11.6,4.6,35.1,2.3,75.0,1.9,0.5,0.4,3.0,25.0,15,0,0.5,82.0,252,11,25.4,74.6,86.0,33.9,44.4,0.7,55.1,4.7,42.2,31.8,0.2,2.3,5.5,8.2,1.0,47.1,52.9,0.03,6.5,1.9,3.1,61.9,0.5,41.5,0.3,41.2,0.4,35.6,9.2,64.5,1.4,40.7,1.4,41.6,1.9,41.8,2.4,39.2,3.4,32.8,105.8,1.4,12.7,9.3,22.7,52.4,56.7,21.4,97.76,3,1,12
Donovan Mitchell,UTA,Louisville,USA,10.9,11.7,21,33.4,79,46,33,20.5,7.5,34.0,3.0,80.5,2.7,1.5,0.3,2.7,33.3,0,0,4.5,75.0,215,13,0.0,100.0,91.9,13.1,22.6,0.5,45.1,9.0,37.2,53.2,0.5,4.4,11.7,0.3,2.3,42.5,57.5,0.01,3.7,2.9,3.2,58.7,0.6,40.0,0.5,38.2,0.6,42.7,11.1,60.6,2.6,40.0,2.2,36.6,2.6,40.0,3.7,38.2,3.6,35.0,101.5,6.8,18.9,2.0,9.3,50.6,54.1,28.3,97.65,1,2,8
Dorian Finney-Smith,DAL,Florida,USA,5.1,6.9,25,21.3,21,4,17,5.9,2.2,29.9,0.5,73.3,1.0,0.5,0.2,2.0,13.0,1,0,-1.1,80.0,220,61,6.3,93.8,81.0,23.8,33.3,0.7,56.4,5.7,19.6,17.0,0.0,1.3,6.8,0.5,0.9,35.7,64.3,0.05,2.6,2.0,1.0,64.5,0.1,28.6,0.0,0.0,0.1,37.5,7.5,64.9,1.0,24.4,1.7,54.7,1.4,33.7,3.0,40.8,2.2,34.8,102.7,-2.7,8.6,4.3,12.1,46.3,48.2,14.4,97.69,0,5,10
Doug McDermott,DAL,Creighton,USA,6.9,7.5,26,21.8,81,30,51,7.8,2.9,42.6,0.8,79.0,0.7,0.2,0.2,1.5,12.8,0,0,-0.4,80.0,219,11,10.5,89.5,85.9,21.2,32.7,0.4,52.4,6.5,18.5,18.7,0.2,1.2,6.4,0.4,0.5,36.6,63.4,0.0,2.0,2.1,1.3,61.5,0.2,44.4,0.1,34.6,0.1,23.3,7.4,58.4,1.5,38.0,1.2,40.1,1.8,43.6,2.7,40.0,2.8,35.0,105.1,-1.2,6.5,2.2,8.7,55.7,57.9,14.4,99.28,3,4,1
Dragan Bender,PHX,None,Croatia,5.8,6.6,20,25.2,82,21,61,6.5,2.3,36.6,0.5,76.5,1.4,0.3,0.6,2.0,15.5,3,0,-5.7,85.0,225,4,7.4,92.6,89.0,22.0,27.4,0.7,54.8,5.2,36.8,23.1,0.1,1.7,4.7,3.6,0.5,58.8,41.2,0.0,6.8,3.8,0.7,54.8,0.1,25.8,0.0,20.0,0.0,11.1,10.1,60.3,1.7,40.8,1.7,43.3,2.2,45.4,3.1,41.5,3.4,35.0,110.9,-10.3,8.9,1.8,14.9,50.8,52.4,12.5,102.2,3,4,1
Draymond Green,GSW,Michigan State,USA,11.7,9.8,28,32.7,70,48,22,11.0,4.0,30.1,1.9,77.5,2.9,1.4,1.3,2.6,36.2,23,3,4.4,79.0,230,35,7.5,92.5,86.8,30.0,34.2,0.7,58.2,5.2,63.8,50.9,0.8,8.3,13.0,4.5,3.1,35.9,64.1,0.07,8.0,4.0,2.3,66.0,0.2,40.5,0.2,38.6,0.1,20.8,12.0,60.7,2.3,34.9,2.3,36.5,2.3,39.0,3.7,37.3,4.7,36.4,105.2,6.7,28.6,3.6,18.3,51.6,55.6,16.8,102.64,1,2,8
Dwayne Bacon,CHA,Florida State,USA,5.8,6.9,22,13.5,53,25,28,3.3,1.4,25.6,0.4,80.0,0.4,0.3,0.0,0.9,7.8,0,0,0.2,79.0,221,40,2.9,97.1,92.0,12.0,22.6,0.2,63.6,6.2,9.3,9.5,0.2,1.0,10.3,0.1,0.3,29.4,70.6,0.0,1.6,1.7,0.5,61.5,0.1,37.5,0.2,33.3,0.4,34.0,5.0,61.6,1.0,39.5,1.1,43.3,1.4,41.4,1.3,35.0,2.1,35.8,104.7,-0.2,7.7,0.5,15.8,40.4,43.1,13.0,101.49,3,4,13
Dwight Howard,CHA,None,USA,13.6,11.1,32,30.4,81,35,46,16.6,6.2,14.3,4.1,57.4,2.6,0.6,1.6,3.1,37.6,53,0,1.1,83.0,265,1,37.1,62.9,86.7,50.0,40.5,1.0,62.7,3.9,30.7,24.7,0.1,1.5,4.9,9.6,1.6,48.0,52.0,0.0,7.2,1.6,5.0,66.0,0.7,35.7,0.2,35.9,0.3,34.4,10.5,62.9,2.2,39.2,2.6,42.3,2.9,40.0,3.4,40.0,4.7,37.5,108.2,1.4,6.9,10.1,29.5,55.6,57.7,23.8,99.41,3,1,12
Dwight Powell,DAL,Stanford,Canada,11.9,12.3,26,21.2,79,23,56,8.5,3.2,33.3,1.7,71.9,0.7,0.8,0.4,2.4,20.0,5,0,0.1,83.0,240,45,21.5,78.5,85.9,31.1,36.7,0.7,54.3,5.7,25.6,18.4,0.2,1.4,5.3,5.0,1.7,49.3,50.7,0.09,5.5,3.1,2.6,73.6,0.1,26.9,0.1,40.0,0.1,35.3,7.1,66.5,1.3,37.9,1.4,42.3,1.5,37.6,2.9,40.5,2.7,34.8,104.5,0.9,8.5,8.0,19.0,62.6,65.6,15.1,97.97,3,8,1
Dwyane Wade,MIA,Marquette,USA,10.4,11.5,36,22.9,67,37,30,11.4,4.5,28.8,2.0,71.4,2.1,0.9,0.7,1.9,23.8,3,0,0.4,76.0,220,5,9.3,90.7,75.0,14.7,29.4,0.6,51.7,6.9,32.5,36.6,0.3,3.9,12.1,0.6,1.9,48.3,51.7,0.01,2.7,2.3,2.3,63.6,0.4,38.4,0.4,26.1,0.7,40.0,8.7,62.3,1.3,39.0,1.2,38.4,1.5,38.2,2.6,39.3,3.2,32.7,105.1,1.3,24.5,3.2,12.4,46.2,50.0,25.1,100.71,1,2,1
E'Twaun Moore,NOP,Purdue,USA,7.3,6.7,29,31.5,82,48,34,12.5,5.2,42.5,0.6,70.6,1.2,1.0,0.1,2.2,21.5,0,0,1.8,76.0,191,55,1.6,98.4,92.1,15.8,24.8,0.5,50.0,9.8,26.2,29.7,0.3,2.7,10.4,0.4,1.7,42.2,57.8,0.0,4.0,2.4,1.8,63.4,1.0,56.8,0.4,42.6,0.2,37.0,12.0,60.0,2.4,40.2,2.2,40.7,2.5,39.4,3.4,36.1,4.8,37.7,106.1,2.6,9.9,2.3,6.5,58.5,59.3,15.8,102.57,3,4,0
Ed Davis,POR,North Carolina,USA,11.5,13.9,29,18.9,78,48,30,5.3,2.2,0.0,0.9,66.7,0.8,0.4,0.7,2.4,17.3,6,0,1.2,82.0,245,13,28.0,71.9,85.0,32.9,42.4,0.8,55.4,4.4,25.0,11.1,0.0,0.6,2.4,8.2,0.8,36.2,63.8,0.01,6.0,0.9,1.9,62.4,0.2,38.5,0.1,44.4,0.0,0.0,6.0,53.7,1.4,44.2,1.0,37.2,1.6,39.9,2.2,37.7,2.2,37.7,103.9,4.1,3.9,12.1,25.4,58.2,60.7,12.0,96.37,3,8,2
Edmond Sumner,IND,Xavier,USA,23.5,2.8,22,2.2,1,0,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,0,0,-6.0,77.0,188,52,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.5,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,160.0,-120.0,0.0,0.0,50.0,100.0,100.0,20.0,110.77,4,7,9
Ekpe Udoh,UTA,Baylor,USA,7.2,12.5,31,12.9,63,36,27,2.6,1.0,0.0,0.7,75.0,0.3,0.7,1.2,1.7,11.9,0,0,1.0,82.0,245,6,14.3,85.7,88.7,17.3,45.3,0.4,47.5,6.4,15.0,10.4,0.0,0.9,5.8,5.6,1.1,41.4,58.6,0.0,5.3,1.2,0.7,65.3,0.2,33.3,0.0,23.1,0.0,0.0,4.5,59.1,0.8,35.7,0.7,42.3,0.8,39.8,1.6,42.9,1.2,30.8,100.3,3.3,9.3,8.6,10.5,50.0,56.0,8.9,99.21,3,8,2
Elfrid Payton,PHX,Louisiana-Lafayette,USA,10.8,9.8,24,28.7,63,13,50,12.7,5.2,32.6,1.7,64.9,2.7,1.3,0.3,2.3,29.6,8,2,-7.3,76.0,185,10,8.3,91.7,85.3,29.4,20.4,0.4,50.2,8.7,48.6,56.6,0.6,7.1,14.7,1.1,2.3,41.8,58.2,0.0,3.3,2.8,3.4,62.5,0.6,36.3,0.4,39.0,0.3,33.9,12.9,63.0,2.0,36.4,2.1,46.4,2.4,44.0,3.8,45.3,3.5,37.8,115.6,-11.7,32.8,3.3,11.7,51.6,53.8,21.1,101.47,1,2,8
Emmanuel Mudiay,NYK,None,DRC,8.0,9.8,22,19.4,64,29,35,8.6,3.2,31.8,1.5,76.0,1.8,0.6,0.2,1.3,17.0,1,0,-4.2,77.0,200,7,6.9,93.1,95.0,40.0,21.7,0.3,48.7,8.4,33.0,40.4,0.3,3.6,11.0,0.4,1.1,48.8,51.2,0.02,1.5,1.9,1.4,50.6,0.2,28.8,0.3,36.1,0.4,34.7,7.9,61.1,1.3,36.9,1.1,40.0,1.4,43.8,2.8,42.4,2.6,38.8,111.5,-9.5,25.4,1.9,9.9,43.3,47.4,23.1,101.46,1,2,1
Enes Kanter,NYK,None,Turkey,16.1,15.2,26,25.8,71,27,44,14.1,5.9,0.0,2.2,84.8,1.7,0.5,0.5,2.6,30.9,39,0,-2.6,83.0,245,3,44.5,55.5,84.0,43.2,44.9,1.1,57.2,4.2,37.8,26.7,0.2,1.7,4.5,6.1,1.0,52.9,47.1,0.0,7.1,1.6,4.5,65.0,0.9,48.5,0.3,45.7,0.3,45.0,9.9,61.0,1.8,41.4,1.4,42.3,1.8,42.2,3.4,41.3,3.7,37.2,111.5,-4.9,9.1,14.6,27.9,59.2,63.0,21.2,97.96,3,1,12
Eric Bledsoe,MIL,Kentucky,USA,12.5,12.5,28,31.4,74,40,34,17.7,6.3,34.7,3.4,79.5,2.9,2.0,0.6,2.5,34.7,3,1,1.6,73.0,205,18,5.1,94.9,82.5,10.0,23.2,0.6,48.1,8.9,51.2,59.2,0.7,6.0,11.8,1.1,3.4,35.5,63.6,0.04,4.0,3.0,3.0,65.2,0.4,41.3,0.5,44.3,0.6,42.5,12.9,60.3,1.5,34.4,1.8,37.9,1.9,38.0,2.6,38.7,4.6,37.3,107.9,2.7,24.6,2.3,10.0,53.6,58.2,25.4,98.57,1,2,8
Eric Gordon,HOU,Indiana,USA,9.0,7.0,29,31.2,69,55,14,18.0,6.0,35.9,2.8,80.9,1.9,0.6,0.4,1.7,25.5,0,0,8.5,76.0,215,7,1.1,98.9,83.1,12.3,15.3,0.3,50.1,10.0,21.5,33.1,0.2,2.6,11.9,0.7,1.4,34.4,65.6,0.03,2.4,2.4,2.4,62.8,0.2,32.7,0.1,29.2,0.0,27.3,12.8,62.9,2.3,40.9,1.8,36.4,1.7,37.9,3.2,35.7,3.8,32.6,103.5,13.0,11.3,1.1,6.5,54.0,57.8,23.8,99.89,1,4,0
Eric Moreland,DET,Oregon State,USA,10.3,9.5,26,12.0,67,32,35,2.1,1.0,0.0,0.2,37.9,0.6,0.5,0.8,1.7,11.9,2,0,0.1,82.0,238,61,22.7,76.8,85.6,31.7,39.9,0.4,52.1,4.2,13.1,11.2,0.1,1.3,9.9,4.3,0.9,48.0,52.0,0.19,4.1,0.8,0.8,61.6,0.1,40.9,0.1,36.4,0.0,0.0,4.1,59.2,0.8,35.2,0.5,36.7,0.6,32.8,1.4,39.6,1.8,35.5,99.3,1.1,14.1,9.6,24.3,54.1,53.1,9.7,96.25,3,8,2
Ersan Ilyasova,PHI,None,Turkey,9.9,7.1,31,25.1,69,36,33,10.9,4.0,36.0,1.5,77.8,1.0,0.9,0.4,2.3,22.6,7,0,0.3,82.0,235,36,24.1,75.9,86.5,35.7,40.0,0.5,57.3,5.7,34.2,26.6,0.2,1.5,4.5,4.1,1.7,38.1,61.9,0.46,4.6,2.2,1.9,59.0,0.1,33.3,0.2,47.2,0.3,39.2,8.9,59.5,1.6,38.3,1.8,42.3,2.0,42.1,3.0,38.5,3.3,37.1,106.1,0.9,7.8,6.7,16.1,52.6,55.8,18.3,100.17,3,4,1
Evan Fournier,ORL,None,France,9.3,7.7,25,32.2,57,20,37,17.8,6.5,37.9,2.6,86.7,1.7,0.8,0.3,2.4,27.6,0,0,-2.1,79.0,205,20,3.8,96.2,90.0,23.3,20.6,0.5,46.6,8.7,23.3,33.0,0.3,3.3,14.0,0.9,2.2,43.5,56.5,0.02,3.1,2.3,2.4,60.5,0.6,45.1,0.4,33.9,0.6,51.6,14.1,63.3,2.2,36.5,2.2,44.1,2.9,46.6,3.8,40.4,3.7,34.8,110.3,-3.2,13.8,1.2,8.4,53.8,57.7,22.6,101.32,1,4,1
Evan Turner,POR,Ohio State,USA,7.1,9.9,29,25.7,79,48,31,8.2,3.3,31.8,1.2,85.0,1.3,0.6,0.4,2.1,16.8,0,0,-0.6,79.0,220,2,3.6,96.4,86.2,20.2,29.1,0.6,50.2,6.3,28.2,27.6,0.2,2.4,8.6,0.6,1.0,30.0,70.0,0.0,3.0,2.4,0.7,63.0,0.5,44.3,0.8,44.9,0.6,44.9,8.6,55.4,2.3,48.1,1.8,41.7,2.3,41.2,3.1,38.0,2.7,34.6,105.6,-1.1,12.8,1.4,10.0,48.4,52.0,15.3,98.4,3,4,0
Frank Kaminsky,CHA,Wisconsin,USA,9.8,10.6,25,23.2,79,35,44,11.1,3.9,38.0,2.0,79.9,0.8,0.5,0.2,1.2,19.1,0,0,-0.7,84.0,242,9,12.1,87.9,87.1,20.1,22.9,0.6,55.6,6.6,35.8,27.0,0.3,2.1,5.7,3.8,0.5,31.3,68.8,0.04,4.7,2.6,1.2,59.1,0.7,38.4,0.5,44.2,0.2,27.1,8.6,66.6,1.6,41.1,1.7,47.2,1.8,41.5,2.4,37.6,3.6,38.3,110.0,-2.3,11.3,2.3,13.9,50.1,54.5,20.2,98.79,3,4,1
Frank Mason,SAC,Kansas,USA,9.1,8.5,24,18.9,52,17,35,7.9,2.8,36.0,1.8,81.7,1.3,0.7,0.2,1.4,16.5,0,0,-0.7,71.0,190,34,6.1,93.9,82.1,17.9,19.2,0.2,56.3,9.2,32.5,39.4,0.5,3.3,10.1,0.2,0.9,46.5,53.5,0.0,1.1,1.9,1.1,42.2,0.3,31.3,0.2,34.4,0.3,31.9,6.4,62.1,1.6,48.0,1.1,40.6,1.2,41.7,2.3,36.2,2.2,35.9,105.4,-1.7,23.3,3.0,10.7,42.0,48.0,22.6,94.37,1,5,10
Frank Ntilikina,NYK,None,France,4.8,3.9,19,21.9,78,28,50,5.9,2.3,31.8,0.6,72.1,1.7,0.8,0.2,2.3,15.0,1,0,-1.3,77.0,190,8,5.0,95.0,89.6,25.0,23.9,0.3,52.7,10.3,38.1,42.8,0.6,3.9,10.4,0.3,1.6,46.3,53.7,0.01,3.0,1.8,0.7,52.8,0.1,24.0,0.2,32.1,0.3,28.6,7.4,57.1,1.5,39.8,1.0,36.2,1.4,38.9,2.7,38.5,2.7,35.5,104.6,-2.2,21.0,2.1,7.9,41.4,43.7,16.6,98.82,1,4,1
Fred VanVleet,TOR,Wichita State,USA,11.1,9.5,24,20.0,76,55,21,8.6,3.1,41.4,1.1,83.2,1.0,0.9,0.3,1.7,18.8,0,0,4.6,72.0,195,61,1.8,98.2,88.5,11.5,17.4,0.4,42.9,10.0,29.5,33.6,0.6,3.9,13.1,0.7,1.7,37.8,62.2,0.08,2.0,1.7,1.4,49.1,0.1,32.3,0.0,5.9,0.1,33.3,7.0,54.8,1.3,33.2,1.5,44.6,1.2,40.7,1.7,35.9,2.2,34.6,101.1,11.1,23.1,1.6,10.2,52.5,55.6,18.8,97.76,1,4,13
Furkan Korkmaz,PHI,None,Turkey,1.0,7.9,20,5.7,14,11,3,1.6,0.6,29.4,0.1,50.0,0.1,0.1,0.1,0.9,3.5,0,0,-3.1,79.0,190,26,0.0,100.0,100.0,0.0,0.0,0.0,84.6,8.4,4.0,4.8,0.2,0.5,12.5,0.0,0.2,0.0,100.0,0.0,0.7,0.5,0.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,76.0,0.7,42.1,0.2,20.0,0.6,36.8,1.1,73.3,0.6,33.3,119.8,-29.3,7.7,2.0,12.3,37.5,38.6,15.9,105.65,0,6,6
Garrett Temple,SAC,Louisiana State,USA,6.5,5.2,32,24.8,65,23,42,8.4,3.1,39.2,0.9,76.9,1.2,0.9,0.4,2.1,16.7,0,0,-4.0,78.0,195,61,0.0,100.0,90.3,12.9,20.4,0.4,52.1,8.3,27.9,29.7,0.3,2.3,8.1,0.3,1.9,26.3,73.7,0.02,2.6,3.2,0.7,56.5,0.1,27.8,0.2,46.9,0.5,37.8,8.3,61.2,1.7,41.4,1.2,44.3,1.3,41.5,3.0,37.3,3.8,38.4,108.1,-7.4,11.5,1.3,8.4,51.2,53.6,16.0,96.56,3,4,13
Gary Harris,DEN,Michigan State,USA,9.8,7.6,23,34.4,67,37,30,17.5,6.6,39.6,2.0,82.7,1.8,1.8,0.2,1.8,29.3,0,0,2.6,76.0,210,19,6.9,93.1,92.5,17.5,19.9,0.3,51.8,9.5,24.6,35.6,0.5,3.4,13.8,0.3,3.0,39.1,60.9,0.06,2.5,2.9,2.7,66.8,0.4,41.0,0.5,48.5,0.4,38.2,13.7,63.8,2.5,40.2,2.2,43.9,2.7,44.1,4.6,37.9,3.5,36.2,108.2,3.5,12.8,1.6,6.1,57.0,59.7,20.4,98.41,1,4,0
Gary Payton II,LAL,Oregon State,USA,5.8,21.2,25,9.6,23,10,13,3.0,1.3,24.0,0.1,33.3,0.3,0.3,0.1,1.3,7.7,1,0,0.5,75.0,190,61,27.3,72.7,75.0,0.0,31.8,0.2,52.4,4.8,11.0,9.7,0.0,1.0,8.7,0.3,0.9,28.6,71.4,0.0,1.3,0.9,0.9,55.6,0.1,50.0,0.0,0.0,0.1,66.7,4.0,55.8,0.9,52.9,0.6,43.5,0.9,48.7,1.2,40.6,1.4,36.1,104.9,4.9,13.0,5.6,14.4,44.6,44.3,16.2,100.19,0,0,11
George Hill,CLE,Indiana-Purdue Indianapolis,USA,7.9,7.9,32,27.0,67,28,39,10.0,3.5,41.5,1.6,78.6,1.3,0.9,0.4,1.9,20.0,0,0,-1.8,75.0,188,26,16.8,83.2,86.5,23.0,22.7,0.4,52.2,10.0,42.6,46.4,0.4,3.3,7.6,1.4,1.8,39.7,60.3,0.03,2.8,3.0,1.1,66.7,0.3,37.3,0.3,44.9,0.4,38.8,9.8,63.1,2.0,45.2,1.6,45.5,1.6,40.7,3.3,39.6,4.1,38.1,111.8,-3.3,14.5,2.3,8.1,54.3,58.0,16.1,96.27,1,2,1
Georges Niang,UTA,Iowa State,USA,8.6,9.0,25,3.5,9,9,0,1.0,0.4,0.0,0.1,50.0,0.3,0.2,0.0,0.1,3.0,0,0,-1.4,78.0,231,50,11.1,88.9,100.0,40.0,0.0,0.0,90.0,10.9,3.1,3.6,0.0,0.2,7.1,0.0,0.2,100.0,0.0,0.0,0.6,0.2,0.3,66.7,0.3,66.7,0.0,0.0,0.0,0.0,1.1,75.0,0.3,28.6,0.7,57.1,0.2,14.3,0.8,38.5,0.3,28.6,98.6,-18.1,16.7,10.3,18.2,36.4,37.9,19.0,109.09,0,3,3
Gerald Green,HOU,None,USA,8.8,6.6,32,22.7,41,33,8,12.1,4.1,36.9,1.2,85.0,0.8,0.6,0.4,2.1,19.0,0,0,2.3,79.0,205,18,0.0,100.0,83.9,16.1,13.5,0.3,53.0,7.5,16.8,19.4,0.1,0.7,4.4,0.5,1.1,53.1,46.9,0.02,3.1,2.2,0.7,53.7,0.1,45.5,0.3,50.0,0.3,50.0,9.0,62.8,1.8,42.0,1.2,41.2,1.2,37.2,2.0,30.7,3.0,33.7,102.7,4.6,4.5,1.6,12.4,54.0,56.6,21.9,99.52,0,5,10
Giannis Antetokounmpo,MIL,None,Greece,18.6,21.8,23,36.7,75,39,36,26.9,9.9,30.7,6.5,76.0,3.0,1.5,1.4,3.1,51.7,42,1,2.0,83.0,222,15,13.2,86.6,88.2,39.4,32.4,0.8,61.1,5.9,57.4,56.1,0.8,5.7,9.9,3.2,2.5,48.9,51.1,0.0,6.6,3.7,6.8,70.2,0.8,38.6,0.6,35.6,0.7,32.1,14.4,59.3,2.0,37.8,2.0,39.8,2.3,37.9,3.0,37.2,5.3,37.4,106.5,2.8,23.7,6.0,21.8,54.5,59.8,30.7,97.61,1,1,12
Glenn Robinson III,IND,Michigan,USA,7.1,5.8,24,14.7,23,14,9,4.1,1.6,41.2,0.4,81.8,0.2,0.6,0.0,0.6,8.8,0,0,0.0,79.0,215,40,9.5,90.5,85.7,7.1,27.0,0.2,54.4,8.0,11.8,10.7,0.2,1.0,8.1,0.2,0.8,40.0,60.0,0.0,2.2,1.5,0.5,54.5,0.1,42.9,0.1,42.9,0.1,23.1,4.5,59.5,1.3,49.2,1.0,40.7,1.4,48.4,1.4,38.1,2.0,32.8,103.9,-0.6,6.8,3.0,7.8,50.6,52.9,11.9,98.83,0,6,6
Goran Dragic,MIA,None,Slovenia,11.5,9.6,32,31.7,75,39,36,17.3,6.5,37.0,2.9,80.1,2.2,0.8,0.2,2.4,30.1,3,0,0.3,75.0,190,45,14.0,86.0,82.1,23.1,20.1,0.7,47.8,9.4,57.7,66.7,0.9,5.9,10.2,0.9,1.5,53.5,46.5,0.07,3.8,1.8,2.8,57.2,0.6,39.6,0.9,43.4,0.6,36.2,11.4,59.0,2.6,36.4,1.9,37.5,2.2,44.5,2.9,37.4,3.9,36.8,106.0,0.2,24.5,2.3,10.5,50.2,54.3,25.0,97.49,1,2,8
Gordon Hayward,BOS,Butler,USA,4.8,11.4,28,5.3,1,0,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,0,0,3.0,80.0,226,9,0.0,0.0,0.0,0.0,0.0,0.0,25.0,21.8,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,100.0,0.0,0.0,81.8,27.3,0.0,0.0,20.0,50.0,50.0,15.4,100.57,4,7,4
Gorgui Dieng,MIN,Louisville,Senegal,9.3,11.8,28,16.9,79,45,34,5.9,2.4,31.1,1.0,77.5,0.7,0.6,0.5,1.9,15.2,2,0,-2.6,83.0,251,21,12.0,88.0,87.1,38.7,38.3,0.3,60.5,6.0,21.6,15.7,0.2,1.1,5.0,3.8,1.3,45.8,54.2,0.18,4.9,1.8,0.9,59.3,0.1,34.5,0.3,51.1,0.4,40.7,6.9,65.3,1.1,43.6,0.8,40.8,1.1,44.3,2.3,37.8,2.4,40.2,110.5,-6.6,8.0,7.8,20.1,50.4,54.3,15.9,99.83,3,4,0
Greg Monroe,BOS,Georgetown,USA,15.3,10.6,28,20.4,51,21,30,10.3,4.3,0.0,1.7,73.9,1.8,0.9,0.5,1.9,24.0,9,1,-4.2,83.0,265,7,27.2,72.8,89.9,39.9,47.1,0.6,60.7,4.2,26.7,24.4,0.1,2.4,9.1,4.0,1.5,42.2,57.8,0.04,5.8,0.8,3.5,64.4,0.5,33.8,0.1,38.5,0.2,50.0,9.2,64.7,1.4,42.0,1.3,44.1,1.4,43.6,2.0,39.6,2.4,34.8,110.5,-9.6,18.9,10.4,24.4,56.5,59.8,21.8,99.86,3,8,2
Guerschon Yabusele,BOS,None,France,8.0,6.8,22,7.1,33,24,9,2.4,0.8,32.4,0.5,68.2,0.4,0.1,0.2,0.7,5.5,0,0,-0.2,80.0,260,16,24.6,75.4,75.0,25.0,30.8,0.4,56.5,6.8,11.2,9.2,0.1,0.6,5.0,1.1,0.3,42.9,57.1,0.0,1.4,0.7,0.3,68.8,0.0,0.0,0.0,0.0,0.1,66.7,2.9,60.5,0.4,35.3,0.3,39.1,0.5,38.2,0.9,44.8,1.0,35.2,101.8,-0.8,10.7,6.5,15.2,52.5,55.9,14.6,99.96,0,0,11
Harrison Barnes,DAL,North Carolina,USA,11.4,8.8,26,34.2,77,24,53,18.9,7.0,35.7,3.4,82.7,1.5,0.6,0.2,1.2,30.0,8,0,-4.2,80.0,225,7,5.7,94.3,89.2,27.2,24.1,0.8,57.5,6.5,39.1,37.0,0.3,2.4,6.0,2.2,1.1,43.9,56.1,0.01,4.9,3.6,2.5,58.2,1.0,44.9,0.6,35.8,0.9,42.4,12.0,65.8,2.6,38.3,2.4,45.6,2.6,40.6,4.1,40.3,4.3,36.0,109.5,-6.1,10.1,2.8,15.4,49.4,53.9,24.7,96.98,1,2,1
