Player,TEAM,College,Country,PIE_2017,PIE_2018,AGE,MIN_2017,GP,W,L,PTS,FGM,3P%,FTM,FT%,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Height,Weight,Draft_Number,%_Box_Outs_Off,%_Box_Outs_Def,%_Team_RebWhen_Box_Out,%_Player_RebWhen_Box_Out,ContestedREB%,DeferredREB_Chances,AdjustedREB_Chance%,AVG_REBDistance,PassesMade,PassesReceived,SecondaryAST,ASTAdj,AST_ToPass%_Adj,ScreenAssists_PTS,Deflections,%_Loose_BallsRecovered_OFF,%_Loose_BallsRecovered_DEF,ChargesDrawn,Contested2PT_Shots,Contested3PT_Shots,FGM_und_5ft,FG%_und_5ft,FGM_5_9ft,FG%_5_9ft,FGM_10_14ft,FG%_10_14ft,FGM_15_19ft,FG%_15_19ft,OPP_FGM_und_5ft,OPP_FG%_und_5ft,OPP_FGM_5_9ft,OPP_FG%_5_9ft,OPP_FGM_10_14ft,OPP_FG%_10_14ft,OPP_FGM_15_19ft,OPP_FG%_15_19ft,OPP_FGM_20_24ft,OPP_FG%_20_24ft,OPP_FGM_25_29ft,OPP_FG%_25_29ft,DEFRTG,NETRTG,AST%,OREB%,DREB%,eFG%,TS%,USG%,PACE,cluster_five,cluster_ten,cluster_fourteen
Nene,HOU,None,Brazil,9.2,6.9,35,14.6,52,42,10,6.5,2.6,0.0,1.3,63.6,0.7,0.5,0.3,2.4,13.6,0,0,5.1,83.0,250,7,16.7,83.3,89.2,31.1,40.3,0.4,50.9,5.1,17.3,13.5,0.2,1.1,6.3,4.9,1.4,25.0,75.0,0.04,3.5,1.9,2.1,61.7,0.2,52.2,0.1,37.5,0.2,47.6,4.9,61.2,0.9,38.5,0.6,32.0,1.0,39.8,1.4,32.0,2.1,35.5,98.1,17.1,9.3,7.4,15.6,56.9,59.4,18.3,102.06,3,8,2
Nerlens Noel,DAL,Kentucky,USA,11.5,12.2,24,15.7,30,6,24,4.4,1.8,0.0,0.7,75.0,0.9,1.0,0.7,2.0,16.5,2,0,-4.0,83.0,220,6,13.0,87.0,92.4,45.5,47.0,0.7,58.9,4.2,15.0,10.1,0.0,0.8,5.1,3.5,2.1,47.4,52.6,0.07,4.9,1.3,1.4,55.4,0.3,81.8,0.2,35.7,0.0,0.0,5.4,65.0,1.0,33.7,1.4,52.6,1.6,44.1,2.0,41.5,2.0,34.9,106.1,-12.3,7.0,9.2,27.3,52.4,55.8,13.1,99.28,0,6,7
Nicolas Batum,CHA,None,France,10.4,8.4,29,31.0,64,27,37,11.6,4.2,33.6,1.7,83.1,2.0,1.0,0.4,1.1,27.6,7,2,0.1,80.0,200,25,18.0,82.0,88.6,25.7,23.5,0.5,61.4,7.1,39.0,39.1,0.5,6.2,15.9,0.6,1.5,37.7,62.3,0.02,3.8,2.9,0.8,67.9,0.2,44.1,0.8,46.7,0.8,40.8,11.5,63.9,2.4,41.2,2.5,42.2,2.9,41.3,3.4,41.1,4.5,37.2,109.6,-0.4,25.5,2.8,12.4,48.6,52.3,17.8,100.07,1,2,1
Nik Stauskas,BKN,Michigan,Canada,7.2,7.8,24,12.8,41,14,27,4.4,1.5,40.0,0.5,72.4,0.6,0.2,0.1,0.6,8.0,0,0,-1.4,78.0,205,8,0.0,100.0,83.3,16.7,12.5,0.2,58.7,7.1,13.7,14.6,0.1,1.1,8.0,0.1,0.5,25.0,75.0,0.0,1.9,1.1,0.4,50.0,0.0,12.5,0.0,0.0,0.1,25.0,4.4,60.5,1.4,47.1,1.1,41.9,1.3,43.6,1.4,35.0,1.2,30.9,104.3,-4.6,11.5,0.7,10.7,51.9,54.3,15.9,99.94,0,5,13
Nikola Jokic,DEN,None,Serbia,16.9,18.8,23,32.6,75,43,32,18.5,6.7,39.6,3.5,85.0,2.8,1.2,0.8,2.8,43.7,38,10,4.7,82.0,250,41,21.3,78.7,91.6,40.7,43.2,0.7,63.9,4.5,66.3,52.1,0.5,6.7,10.2,9.7,2.5,55.4,44.6,0.11,9.5,3.1,2.9,61.3,1.1,49.4,0.6,46.9,0.5,45.6,12.3,62.7,2.4,39.2,2.1,42.1,2.4,43.6,4.6,38.5,3.5,37.9,107.8,6.2,28.6,8.1,25.4,55.4,60.3,23.8,97.52,1,1,12
Nikola Mirotic,NOP,None,Montenegro,13.0,11.6,27,27.2,55,34,21,15.6,5.6,37.7,2.0,81.8,1.1,0.8,0.7,2.0,30.0,12,0,2.7,82.0,238,23,25.4,74.6,81.6,36.8,29.6,0.6,64.7,5.4,40.5,28.7,0.1,1.6,4.0,1.8,1.7,33.8,66.2,0.07,5.8,3.3,1.8,64.1,0.5,55.3,0.3,33.3,0.3,37.0,11.1,60.9,2.0,40.3,1.7,39.8,1.9,38.1,2.8,35.5,3.8,34.6,105.4,4.2,7.9,3.8,21.3,54.6,57.7,22.3,103.04,3,1,12
Nikola Vucevic,ORL,Southern California,Montenegro,13.9,18.5,27,29.5,57,17,40,16.5,7.0,31.4,1.4,81.9,1.9,1.0,1.1,2.5,36.8,29,1,-0.6,84.0,260,16,9.1,90.9,91.1,39.3,42.6,0.7,66.0,4.5,47.2,42.5,0.2,3.6,7.7,8.2,1.9,41.7,58.3,0.02,8.1,1.7,2.8,71.5,1.1,44.5,0.7,37.4,0.9,48.6,12.4,63.7,2.0,36.4,1.8,39.6,2.1,40.0,3.4,39.5,3.7,36.0,107.5,-1.3,18.4,5.9,24.9,51.3,53.3,25.2,101.48,1,1,12
Noah Vonleh,CHI,Indiana,USA,10.8,10.4,22,16.2,54,24,30,4.9,1.9,30.3,0.7,62.1,0.6,0.4,0.3,1.3,14.2,3,0,-0.7,81.0,245,9,29.5,70.5,83.1,42.9,42.8,0.4,60.3,4.3,24.3,12.9,0.1,0.8,3.2,2.2,0.6,50.0,50.0,0.02,3.5,1.5,1.1,56.9,0.2,40.9,0.1,36.4,0.2,52.6,5.3,56.7,1.2,48.8,1.0,36.1,1.5,47.2,2.3,42.2,1.9,30.2,104.6,-2.1,5.9,7.4,26.5,48.7,50.9,14.2,98.37,3,8,2
Norman Powell,TOR,UCLA,USA,5.6,9.2,25,15.2,70,51,19,5.5,2.1,28.5,0.5,82.1,0.9,0.5,0.2,1.6,10.8,0,0,-0.3,76.0,215,46,2.1,97.9,82.9,14.3,21.8,0.3,56.9,7.4,13.7,16.8,0.2,1.5,11.0,0.3,1.1,44.8,55.2,0.01,1.4,1.2,1.0,54.2,0.2,52.2,0.1,45.5,0.1,25.0,6.0,59.7,1.0,32.4,1.2,41.7,1.1,42.8,1.5,39.0,1.9,38.4,106.7,-1.9,12.2,1.3,10.0,47.2,49.2,18.5,99.41,3,4,0
OG Anunoby,TOR,Indiana,United Kingdo...,5.6,5.7,20,20.0,74,51,23,5.9,2.2,37.1,0.5,62.9,0.6,0.7,0.2,1.8,12.1,0,0,4.0,80.0,235,23,17.6,82.4,88.9,23.8,28.8,0.3,59.9,7.0,12.1,12.3,0.2,0.9,7.5,0.3,1.3,38.6,61.4,0.03,3.0,2.2,1.2,65.4,0.0,0.0,0.0,33.3,0.0,0.0,7.9,57.1,1.5,38.7,1.6,44.5,1.7,41.6,1.4,32.6,2.4,36.6,103.0,10.0,4.9,3.0,9.0,57.7,58.7,12.1,99.62,3,4,13
